customer_id,recency,frequency,monetary,avg_basket,n_products,n_countries,customer_age_days,avg_days_between_orders,target
12346,234,12,77556.46,2281.0723529411766,27,1,634,57.63636363636363,0
12347,38,6,3402.3900000000003,20.74628048780488,107,1,312,62.4,1
12348,157,4,1709.4,35.612500000000004,25,1,346,115.33333333333333,1
12349,316,3,2671.14,26.18764705882353,90,1,497,248.5,1
12350,218,1,334.4,19.670588235294115,17,1,218,218.0,0
12351,283,1,300.93,14.33,21,1,283,283.0,0
12352,170,7,1905.61,34.028749999999995,38,1,301,50.166666666666664,1
12353,112,2,406.76,16.948333333333334,23,1,317,317.0,0
12354,140,1,1079.4,18.610344827586207,58,1,140,140.0,0
12355,122,2,947.61,27.074571428571428,35,1,476,476.0,0
12356,154,5,6313.38,45.09557142857143,104,1,333,83.25,1
12357,296,2,12079.99,73.2120606060606,165,1,297,297.0,1
12358,59,4,3203.87,45.769571428571425,56,1,640,213.33333333333334,1
12359,98,9,6059.09,23.304192307692308,230,1,642,80.25,1
12360,21,7,3209.11,19.687791411042944,123,1,564,94.0,1
12361,195,4,511.25,17.629310344827587,18,1,590,196.66666666666666,0
12362,28,5,1877.35,17.710849056603774,89,1,647,161.75,1
12363,18,2,552.0,24.0,23,1,150,150.0,0
12364,20,1,623.92,18.350588235294115,34,1,20,20.0,1
12365,199,2,641.38,29.153636363636362,22,1,199,199.0,0
12366,542,1,500.24,166.74666666666667,3,1,542,542.0,0
12368,536,1,917.6999999999999,50.98333333333333,18,1,536,536.0,0
12369,321,3,1791.15,19.25967741935484,90,1,550,275.0,0
12370,183,6,3577.28,20.67791907514451,150,2,577,115.4,1
12371,317,3,2179.42,20.95596153846154,91,1,553,276.5,1
12372,121,2,914.9200000000001,23.45948717948718,32,1,205,205.0,1
12373,219,3,1127.65,22.110784313725492,36,1,582,291.0,0
12374,329,3,2246.29,44.9258,47,1,496,248.0,1
12375,6,1,230.3,20.936363636363637,11,1,6,6.0,1
12376,298,2,503.15,38.70384615384615,11,1,326,326.0,0
12377,223,4,3426.32,22.54157894736842,129,1,497,165.66666666666666,0
12378,38,2,5416.32,17.994418604651162,281,1,470,470.0,0
12379,78,3,1227.82,20.128196721311475,50,1,443,221.5,1
12380,94,8,7559.04,36.16765550239234,125,1,571,81.57142857142857,1
12381,28,1,1268.74,20.463548387096775,62,1,28,28.0,1
12383,93,5,1850.56,18.69252525252525,84,1,260,65.0,0
12384,30,1,292.69,20.90642857142857,14,1,30,30.0,1
12385,287,1,1938.4,29.821538461538463,65,1,287,287.0,0
12386,246,2,401.9,40.19,10,1,275,275.0,0
12387,323,1,143.94,15.993333333333332,9,1,323,323.0,0
12388,56,6,2788.79,24.041293103448275,77,1,490,98.0,1
12389,311,3,1433.33,29.251632653061222,41,1,564,282.0,0
12391,373,5,2285.18,13.133218390804597,159,1,571,142.75,1
12392,499,1,234.75000000000003,33.53571428571429,7,1,499,499.0,0
12393,154,5,1877.95,22.901829268292683,53,1,336,84.0,1
12394,125,1,381.08,18.146666666666665,21,1,125,125.0,1
12395,20,11,3602.11,19.791813186813187,122,1,511,51.1,1
12396,582,1,931.43,14.329692307692307,65,1,582,582.0,0
12397,43,1,1214.81,17.35442857142857,70,1,43,43.0,1
12399,27,7,1962.3,17.83909090909091,67,1,553,92.16666666666667,0
12400,322,1,205.25,18.65909090909091,11,1,322,322.0,0
12401,211,1,84.3,16.86,5,1,211,211.0,0
12402,231,6,1256.9,17.955714285714286,43,1,579,115.8,0
12403,430,1,591.6600000000001,147.91500000000002,4,1,430,430.0,1
12404,590,1,63.24,63.24,1,1,590,590.0,0
12405,57,1,1710.39,31.67388888888889,54,1,57,57.0,0
12406,92,4,4596.31,41.784636363636366,81,1,605,201.66666666666666,1
12407,42,4,1407.3600000000001,21.990000000000002,50,1,172,57.333333333333336,1
12408,7,7,3586.27,26.369632352941178,90,1,406,67.66666666666667,1
12409,91,5,18553.7,84.72009132420092,165,1,473,118.25,1
12410,217,3,1013.71,25.342750000000002,36,1,410,205.0,0
12411,318,1,346.9,15.768181818181818,22,1,318,318.0,0
12412,46,5,2260.79,20.367477477477475,74,1,447,111.75,1
12413,144,3,805.25,19.640243902439025,37,2,310,155.0,1
12414,125,6,952.41,34.01464285714285,21,1,372,74.4,0
12415,7,22,121631.72,149.79275862068965,438,1,436,20.761904761904763,1
12416,565,1,202.56,18.414545454545454,11,1,565,565.0,0
12417,15,18,5964.83,18.353323076923076,252,2,642,37.76470588235294,1
12418,21,4,2021.2,19.815686274509805,90,1,538,179.33333333333334,0
12419,294,2,503.01,20.1204,23,1,322,322.0,0
12421,23,5,920.12,16.430714285714284,38,1,413,103.25,1
